X,Y,OBJECTID_1,UniqueID,CompAddNum,CompStreetName,CompSubAddress,CompCityStateZip,StreetAddress,MainAddress,CompleteAddress,FeatureType,Alternate,Residential,Mailable,MainPoint,Anomaly,AnomalyType,Status,Authority,Landmark,ParcelNumber,ProprietaryID,AddNumPre,AddNum,AddNumPost,StreetPreDir,ImpliedPreDir,StreetPreType,StreetName,StreetPostType,StreetPostDir,StreetPostMod,SubAddType1,SubNumber1,SubAddType2,SubNumber2,SubAddType3,SubNumber3,City,ZipCode,ZipPlus4,UIUC,StatePlaneX,StatePlaneY
-88.2470186459097,40.1061982070106,4781,36184,807,S State St,,"Champaign, IL 61820",807 S State St,"807 S State St, Champaign, IL 61820","807 S State St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254017,M4774,,807,,South,South,,State,Street,,,,,,,,,Champaign,61820,,,1008395.69168958,1252604.26221032
-88.2469853128705,40.1060437626579,4782,36185,809,S State St,,"Champaign, IL 61820",809 S State St,"809 S State St, Champaign, IL 61820","809 S State St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013254018,M4775,,809,,South,South,,State,Street,,,,,,,,,Champaign,61820,,,1008405.07027975,1252548.00969815
-88.246506421892,40.1066360182534,4783,36186,211,William St,,"Champaign, IL 61820",211 William St,"211 William St, Champaign, IL 61820","211 William St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013255001,M4776,,211,,,,,William,Street,,,,,,,,,Champaign,61820,,,1008538.81618114,1252763.8891868
-88.2462921517126,40.1066379198666,4784,36187,209,William St,,"Champaign, IL 61820",209 William St,"209 William St, Champaign, IL 61820","209 William St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013255002,M4777,,209,,,,,William,Street,,,,,,,,,Champaign,61820,,,1008598.75099475,1252764.64049849
-88.2459794720217,40.106630376797,4785,36188,207,William St,,"Champaign, IL 61820",207 William St,"207 William St, Champaign, IL 61820","207 William St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013255003,M4778,,207,,,,,William,Street,,,,,,,,,Champaign,61820,,,1008686.216371,1252761.97843032
-88.2457781364583,40.1065692542166,4786,36189,205,William St,,"Champaign, IL 61820",205 William St,"205 William St, Champaign, IL 61820","205 William St, Champaign, IL 61820",Standard,P,Y,N,Y,N,,Active,Champaign,,432013255004,M4779,,205,,,,,William,Street,,,,,,,,,Champaign,61820,,,1008742.55582524,1252739.76784482
-88.2455638156196,40.1066216732459,4787,36190,203,William St,,"Champaign, IL 61820",203 William St,"203 William St, Champaign, IL 61820","203 William St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013255005,M4780,,203,,,,,William,Street,,,,,,,,,Champaign,61820,,,1008802.48680774,1252758.92233407
-88.2453314570082,40.1066445007242,4788,36191,201,William St,,"Champaign, IL 61820",201 William St,"201 William St, Champaign, IL 61820","201 William St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013255006,M4781,,201,,,,,William,Street,,,,,,,,,Champaign,61820,,,1008867.4738825,1252767.30223857
-88.2464910163679,40.1062565109095,4789,36192,806,S State St,,"Champaign, IL 61820",806 S State St,"806 S State St, Champaign, IL 61820","806 S State St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013255007,M4782,,806,,South,South,,State,Street,,,,,,,,,Champaign,61820,,,1008543.26029208,1252625.64504157
-88.2464771253678,40.1060124479995,4790,36193,212,Charles St,,"Champaign, IL 61820",212 Charles St,"212 Charles St, Champaign, IL 61820","212 Charles St, Champaign, IL 61820",Vacant Land,P,Y,N,Y,N,,Active,Champaign,,432013255008,M4783,,212,,,,,Charles,Street,,,,,,,,,Champaign,61820,,,1008547.23285181,1252536.74060763
-88.2463206524796,40.1060382604786,4791,36194,210 1/2,Charles St,,"Champaign, IL 61820",210 1/2 Charles St,"210 1/2 Charles St, Champaign, IL 61820","210 1/2 Charles St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013255009,M4784,,210,1/2,,,,Charles,Street,,,,,,,,,Champaign,61820,,,1008590.99248008,1252546.18653907
-88.2462106772943,40.1060421991049,4792,36195,210,Charles St,,"Champaign, IL 61820",210 Charles St,"210 Charles St, Champaign, IL 61820","210 Charles St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013255010,M4785,,210,,,,,Charles,Street,,,,,,,,,Champaign,61820,,,1008621.75357341,1252547.65143116
-88.2459951445557,40.1060588055395,4793,36196,208,Charles St,,"Champaign, IL 61820",208 Charles St,"208 Charles St, Champaign, IL 61820","208 Charles St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013255011,M4786,,208,,,,,Charles,Street,,,,,,,,,Champaign,61820,,,1008682.03691741,1252553.76001474
-88.2457896059994,40.1061448843992,4794,36197,206,Charles St,,"Champaign, IL 61820",206 Charles St,"206 Charles St, Champaign, IL 61820","206 Charles St, Champaign, IL 61820",Standard,P,Y,N,Y,N,,Active,Champaign,,432013255012,M4787,,206,,,,,Charles,Street,,,,,,,,,Champaign,61820,,,1008739.499729,1252585.17366582
-88.2455617002407,40.106034446497,4795,36198,204,Charles St,,"Champaign, IL 61820",204 Charles St,"204 Charles St, Champaign, IL 61820","204 Charles St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013255013,M4788,,204,,,,,Charles,Street,,,,,,,,,Champaign,61820,,,1008803.28962766,1252545.00576715
-88.2439514823074,40.106605945591,4796,36199,105,William St,,"Champaign, IL 61820",105 William St,"105 William St, Champaign, IL 61820","105 William St, Champaign, IL 61820",Standard,P,N,Y,Y,N,,Active,Champaign,,432013256003,M4789,,105,,,,,William,Street,,,,,,,,,Champaign,61820,,,1009253.49410783,1252753.64216091
-88.2448768967713,40.1062454330219,4797,36200,806,S Randolph St,,"Champaign, IL 61820",806 S Randolph St,"806 S Randolph St, Champaign, IL 61820","806 S Randolph St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013256005,M4790,,806,,South,South,,Randolph,Street,,,,,,,,,Champaign,61820,,,1008994.76775564,1252622.05438246
-88.2438904537973,40.1062577201502,4798,36201,104,Charles St,,"Champaign, IL 61820",104 Charles St,"104 Charles St, Champaign, IL 61820","104 Charles St, Champaign, IL 61820",Parking Lot,P,N,N,Y,N,,Active,Champaign,,432013256010,M4791,,104,,,,,Charles,Street,,,,,,,,,Champaign,61820,,,1009270.69256425,1252626.80645657
